date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:08	925518/925518	---MCZ	200	added ('OK')	text/html	etag:W/%22f381521ff9bb29853323aa475b9054af%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/returns	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/returns.html	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:09	736971/736971	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2202183f4f77687557c83beeb649491eb2%22	https://emra570.wixsite.com/sdvweb/post/robots.txt	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/robots.1b.delayed	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:10	3032/3032	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:14:10%20GMT	https://emra570.wixsite.com/sdvweb/post/sitemap.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/sitemap.1c.delayed	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:10	3032/3032	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:14:10%20GMT	https://emra570.wixsite.com/sdvweb/post/feed.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/feed.1d.delayed	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:11	736831/736831	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2248250603247dafb8eee654558f72bac3%22	https://emra570.wixsite.com/sdvweb/post/${i.uri}	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/${i.1e.delayed	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:12	737001/737001	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%228f5ed39767a40699a4b5a6aafba2d017%22	https://emra570.wixsite.com/sdvweb/post/decodeURIComponent(e	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/post/decodeURIComponent(e.1f.delayed	(from https://emra570.wixsite.com/sdvweb/post/cutting-costs-maximizing-results)
22:14:15	937746/937746	---MCZ	200	added ('OK')	text/html	etag:W/%22fdb65563799728f76966ca81783c3147%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/customerengagement	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/customerengagement.html	(from https://emra570.wixsite.com/sdvweb/post/10-ways-to-engage-with-your-clients)
22:14:18	937548/937548	---MCZ	200	added ('OK')	text/html	etag:W/%22e4228f0b0d0076e71b375139c88582d4%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/clientsatisfaction	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/clientsatisfaction.html	(from https://emra570.wixsite.com/sdvweb/post/10-ways-to-engage-with-your-clients)
22:14:20	931176/931176	---MCZ	200	added ('OK')	text/html	etag:W/%22d254a44175f4f6eb0cb20c105fadbf54%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/organization	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/organization.html	(from https://emra570.wixsite.com/sdvweb/post/how-to-stay-organized-at-work)
22:14:24	925236/925236	---MCZ	200	added ('OK')	text/html	etag:W/%2216687311ccd5502ea5dae6d631f8a029%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/goodworkhabits	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/goodworkhabits.html	(from https://emra570.wixsite.com/sdvweb/post/how-to-stay-organized-at-work)
22:14:26	790325/790325	---MCZ	200	added ('OK')	text/html	etag:W/%229c4100f998b77b1dbbf58ecdf9d574a5%22	https://emra570.wixsite.com/sdvweb/event-details/robots.txt	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/robots.html	(from https://emra570.wixsite.com/sdvweb/event-details/congreso-1)
22:14:26	3031/3031	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:14:26%20GMT	https://emra570.wixsite.com/sdvweb/event-details/sitemap.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/sitemap.25.delayed	(from https://emra570.wixsite.com/sdvweb/event-details/congreso-1)
22:14:27	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:14:27%20GMT	https://emra570.wixsite.com/sdvweb/event-details/feed.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/feed.26.delayed	(from https://emra570.wixsite.com/sdvweb/event-details/congreso-1)
22:14:29	790551/790551	---MCZ	200	added ('OK')	text/html	etag:W/%22d999b7dc127815005f28d096c6ec4da0%22	https://emra570.wixsite.com/sdvweb/event-details/${i.uri}	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/${i.html	(from https://emra570.wixsite.com/sdvweb/event-details/congreso-1)
22:14:30	790438/790438	---MCZ	200	added ('OK')	text/html	etag:W/%2276fcbd5212ac536917671dfe0a89f13d%22	https://emra570.wixsite.com/sdvweb/event-details/decodeURIComponent(e	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/decodeURIComponent(e.html	(from https://emra570.wixsite.com/sdvweb/event-details/congreso-1)
22:14:32	790369/790369	---MCZ	200	added ('OK')	text/html	etag:W/%22bf8ab3ccb83b647dcba376dc56dacacf%22	https://emra570.wixsite.com/sdvweb/event-details/c	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/c.html	(from https://emra570.wixsite.com/sdvweb/event-details/conferencia-1)
22:14:33	790488/790488	---MCZ	200	added ('OK')	text/html	etag:W/%227fddda0a252c39d8ef59b7b397b083f4%22	https://emra570.wixsite.com/sdvweb/event-details/t	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/event-details/t.html	(from https://emra570.wixsite.com/sdvweb/event-details/conferencia-1)
22:14:35	913261/913261	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22be4ce2a3e6663a32d08074272f337503%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/c	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/c.2b.delayed	(from https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency)
22:14:38	918602/918602	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22bb0ffe7fcefe0e2c047846a27b6a0cb1%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/t	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/t.2c.delayed	(from https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency)
22:14:44	529280/529280	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202024%2002:14:44%20GMT	https://emra570.wixsite.com/sdvweb/inicio/hashtags/robots.txt	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/robots.html	(from https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency)
22:14:44	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:14:44%20GMT	https://emra570.wixsite.com/sdvweb/inicio/hashtags/sitemap.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/sitemap.2e.delayed	(from https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency)
22:14:45	3032/3032	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2030%20Aug%202024%2002:14:45%20GMT	https://emra570.wixsite.com/sdvweb/inicio/hashtags/feed.xml	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/feed.2f.delayed	(from https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency)
22:14:48	913047/913047	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d7cb470d0481918225865b0ec0943de6%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/${i.uri}	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/${i.30.delayed	(from https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency)
22:14:49	875586/875586	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22597108244b3df47d8aca72bc2955cce1%22	https://emra570.wixsite.com/sdvweb/inicio/hashtags/decodeURIComponent(e	/home/kasm-user/websites/vacuna/emra570.wixsite.com/sdvweb/inicio/hashtags/decodeURIComponent(e.31.delayed	(from https://emra570.wixsite.com/sdvweb/inicio/hashtags/costefficiency)
